FID,SLN,TEA,SCHOOLNAME,LEVEL_,Latitude,Longitude,ADDRESS,CITY,ZIP,PHONE,WEBSITE,NAME,mhiE,mhiM,rohhE,rohhM,tot_mf,tot_units,MAR2022,IncomeNeed,TotEvictions,EvicFilAmt,EVR
1,47,47,Franklin International Exploratory Academy Middle School,Middle,32.8855395655,-96.7845441689,6920 Meadow Rd.,Dallas,75230,9725027100,http://www.dallasisd.org/franklin,ZCTA5 75230,105045,6577,4905,572,18,4474,1353.64705882353,64975.0588235294,191,2598.52643979058,38.9398572884811
2,69,69,Seagoville Middle School,Middle,32.6819109823,-96.58334471,950 Woody Rd.,Dallas,75253,9728927100,http://www.dallasisd.org/seagovillems,ZCTA5 75253,46716,5051,2290,599,4,341,868.5,41688,252,1561.34472222222,110.043668122271
3,354,354,Kennedy-Curry Middle School,Middle,32.6609563779,-96.7578665583,6605 Sebring Dr.,Dallas,75241,9729251600,http://www.dallasisd.org/kennedycurry,ZCTA5 75241,38792,3242,4042,427,11,2233,931,44688,455,2550.79947019868,112.568035625928
4,62,62,Dade Middle School,Middle,32.7712122792,-96.7734135593,2727 Al Lipscomb Way,Dallas,75215,9727493800,http://www.dallasisd.org/dade,ZCTA5 75215,32077,2523,4759,504,69,3713,1018.03125,48865.5,433,2361.84223776224,90.985501155705
5,76,76,Lang Sr. Middle School,Middle,32.8017630859,-96.6867980273,1678 Chenault St.,Dallas,75228,9729252400,http://www.dallasisd.org/lang,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
6,353,353,Richards STEAM Academy Middle School,Middle,32.770022087,-96.6662960429,3831 N. Prairie Creek Rd.,Dallas,75227,9728925400,http://www.dallasisd.org/annrichards,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
7,53,53,Long Middle School,Middle,32.8069438604,-96.7502968134,6116 Reiger Ave.,Dallas,75214,9725024700,http://www.dallasisd.org/long,ZCTA5 75214,104583,16017,6648,520,135,5924,1195.30526315789,57374.652631579,327,3159.72599388379,49.187725631769
8,55,55,Rusk Middle School,Middle,32.8267180763,-96.8348718328,2929 Inwood Rd.,Dallas,75235,9729252000,http://www.dallasisd.org/rusk,ZCTA5 75235,49805,6926,6659,630,44,7701,1535.15625,73687.5,237,3890.41227848101,35.5909295690044
9,79,79,Medrano Junior High School,Middle,32.8725612346,-96.8763613526,9815 Brockbank Dr,Dallas,75220,9729251300,http://www.dallasisd.org/panchomedrano,ZCTA5 75220,51125,3645,9670,611,68,10285,1049.33333333333,50368,431,2149.24658139535,44.5708376421924
10,77,77,Garcia Middle School,Middle,32.7498559088,-96.8138859057,700 E. Eighth St.,Dallas,75203,9725025500,http://www.dallasisd.org/garcia,ZCTA5 75203,40079,3972,3996,340,99,4604,962.62,46205.76,275,3425.9347601476,68.8188188188188
11,68,68,Quintanilla Sr. Middle School STEAM Academy,Middle,32.7619699922,-96.8656663639,2700 Remond Dr.,Dallas,75211,9725023200,http://www.dallasisd.org/quintanilla,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
12,59,59,Stockard Middle School,Middle,32.7228003805,-96.8673084867,2300 S. Ravinia Dr.,Dallas,75211,9727945700,http://www.dallasisd.org/stockard,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
13,48,48,Gaston Middle School,Middle,32.8247687129,-96.6940855694,9565 Mercer Dr.,Dallas,75228,9725025400,http://www.dallasisd.org/gaston,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
14,50,50,Hill Middle School,Middle,32.8554461204,-96.7041449281,505 Easton Rd.,Dallas,75218,9725025700,http://www.dallasisd.org/hill,ZCTA5 75218,95500,11196,3443,326,12,2490,1309.1,62836.8,122,2241.14827868852,35.4342143479524
15,72,72,Todd Sr. Middle School,Middle,32.6913104804,-96.7825493869,2445 E. Ledbetter Dr.,Dallas,75216,9727493600,http://www.dallasisd.org/todd,ZCTA5 75216,31063,2551,9318,699,33,4216,954.620689655173,45821.7931034483,752,2382.64582109479,80.7040137368534
16,43,43,Browne Middle School,Middle,32.6968181193,-96.8762850952,3333 Sprague Dr.,Dallas,75233,9725052500,http://www.dallasisd.org/browne,ZCTA5 75233,57018,10050,2441,367,9,2104,1056.11111111111,50693.3333333333,261,2769.82607692308,106.923392052438
17,100,100,Holmes Jr. Middle School,Middle,32.7109491272,-96.868483851,2939 St. Rita Dr.,Dallas,75233,2149327800,http://www.dallasisd.org/zwholmes,ZCTA5 75233,57018,10050,2441,367,9,2104,1056.11111111111,50693.3333333333,261,2769.82607692308,106.923392052438
18,284,284,Personalized Learning Academy at Highland Meadows,Elementary,32.8705868973,-96.687854934,8939 Whitewing Lane,Dallas,75238,9725025200,http://www.dallasisd.org/hmeadows,ZCTA5 75238,68361,8589,6411,453,29,7113,1221.73076923077,58643.0769230769,684,2611.82817914831,106.691623771642
19,280,280,Frank Elementary School,Elementary,32.9477585157,-96.8179082651,5201 Celestial Rd.,Dallas,75254,9725025900,http://www.dallasisd.org/frank,ZCTA5 75254,62569,5634,8958,743,37,10980,1514.2,72681.6,532,2249.75314990512,59.3882563072114
20,169,169,Kramer Elementary School,Elementary,32.9022179591,-96.7832749525,7131 Midbury Dr.,Dallas,75230,9727948300,http://www.dallasisd.org/kramer,ZCTA5 75230,105045,6577,4905,572,18,4474,1353.64705882353,64975.0588235294,191,2598.52643979058,38.9398572884811
21,167,167,Kleberg Elementary School,Elementary,32.6843439312,-96.6004923657,1450 Edd Rd.,Dallas,75253,9727496500,http://www.dallasisd.org/kleberg,ZCTA5 75253,46716,5051,2290,599,4,341,868.5,41688,252,1561.34472222222,110.043668122271
22,187,187,Moseley Elementary School,Elementary,32.6893560789,-96.6423472979,10400 Rylie Rd.,Dallas,75217,9727496700,http://www.dallasisd.org/moseley,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
23,305,305,Halliday Elementary School,Elementary,32.6751280747,-96.6457861299,10210 Teagarden Rd.,Dallas,75217,9729251800,http://www.dallasisd.org/ebbyhalliday,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
24,142,142,Ervin Elementary School,Elementary,32.6796411346,-96.762225544,3722 Black Oak Dr.,Dallas,75241,9727493700,http://www.dallasisd.org/ervin,ZCTA5 75241,38792,3242,4042,427,11,2233,931,44688,455,2550.79947019868,112.568035625928
25,301,301,Wilmer-Hutchins Elementary School,Elementary,32.6541887595,-96.7276952776,7475 J.J. Lemmon Rd.,Dallas,75241,9729252600,http://www.dallasisd.org/wilmerhutchinses,ZCTA5 75241,38792,3242,4042,427,11,2233,931,44688,455,2550.79947019868,112.568035625928
26,235,235,Alexander Elementary School,Elementary,32.6560092837,-96.8476434395,1830 Goldwood Dr.,Dallas,75232,9727493100,http://www.dallasisd.org/alexander,ZCTA5 75232,48768,4207,4059,479,13,2085,1042.33333333333,50032,328,3095.74978593272,80.8080808080808
27,175,175,U. Lee Elementary School,Elementary,32.6527723625,-96.8354665671,7808 Racine Dr.,Dallas,75232,9727493900,http://www.dallasisd.org/ulee,ZCTA5 75232,48768,4207,4059,479,13,2085,1042.33333333333,50032,328,3095.74978593272,80.8080808080808
28,264,264,McNair Elementary School,Elementary,32.6561794157,-96.8632707898,3150 Bainbridge Ave.,Dallas,75237,9727946200,http://www.dallasisd.org/mcnair,ZCTA5 75237,33740,3904,6878,539,26,7044,1130.25,54252,1057,2635.65085004776,153.678394882233
29,226,226,Weiss Elementary School,Elementary,32.6438279939,-96.8304693915,8601 Willoughby Blvd.,Dallas,75232,9727494000,http://www.dallasisd.org/weiss,ZCTA5 75232,48768,4207,4059,479,13,2085,1042.33333333333,50032,328,3095.74978593272,80.8080808080808
30,109,109,Blair Elementary School,Elementary,32.7087494902,-96.6887209599,7720 Gayglen Dr.,Dallas,75217,9727941600,http://www.dallasisd.org/blair,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
31,117,117,Burleson Elementary School,Elementary,32.7187234035,-96.7131728867,6300 Elam Rd.,Dallas,75217,9727494500,http://www.dallasisd.org/burleson,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
32,266,266,Douglass Elementary School,Elementary,32.7156069993,-96.6975001387,226 N. Jim Miller Rd.,Dallas,75217,9727941400,http://www.dallasisd.org/douglas,ZCTA5 75217,44384,2417,10066,817,34,4458,966.076923076923,46371.6923076923,429,2454.56117370892,42.6187164712895
33,108,108,Bayles Elementary School,Elementary,32.8010691042,-96.706053376,2444 Telegraph Ave.,Dallas,75228,9727498900,http://www.dallasisd.org/bayles,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
34,129,129,Conner Elementary School,Elementary,32.8082429297,-96.6947509794,3037 Greenmeadow Dr.,Dallas,75228,9727498200,http://www.dallasisd.org/conner,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
35,218,218,Truett Elementary School,Elementary,32.8164291217,-96.6834910235,1810 Inadale Ave.,Dallas,75228,9727498000,http://www.dallasisd.org/truett,ZCTA5 75228,51018,1728,13200,716,73,11766,1013.2380952381,48635.4285714286,975,2446.88714285714,73.8636363636364
36,216,216,Titche Elementary School,Elementary,32.7547624541,-96.6585570295,9560 Highfield Dr.,Dallas,75227,9727942100,http://www.dallasisd.org/titche,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
37,139,139,Dunbar Learning Center,Elementary,32.7748272658,-96.7492012123,4200 Metropolitan Ave.,Dallas,75210,9727946600,http://www.dallasisd.org/dunbar,ZCTA5 75210,32852,6197,1934,338,13,1091,795.272727272727,38173.0909090909,191,1831.27439153439,98.7590486039297
38,240,240,Guzick Elementary School,Elementary,32.7847256406,-96.6927353866,5000 Berridge Ln,Dallas,75227,9725023900,http://www.dallasisd.org/guzick,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
39,128,128,King Jr. Arts Academy,Choice,32.7610057072,-96.773497162,1817 Warren Ave.,Dallas,75215,9725028100,http://www.dallasisd.org/mlk,ZCTA5 75215,32077,2523,4759,504,69,3713,1018.03125,48865.5,433,2361.84223776224,90.985501155705
40,200,200,Rhoads Early Learning Center,Magnet,32.763420899,-96.7487277347,4401 Second Ave.,Dallas,75210,9727491000,http://www.dallasisd.org/rhoads,ZCTA5 75210,32852,6197,1934,338,13,1091,795.272727272727,38173.0909090909,191,1831.27439153439,98.7590486039297
41,201,201,Rice Learning Center,Elementary,32.7564893659,-96.7621251032,2425 Pine St.,Dallas,75215,9727491100,http://www.dallasisd.org/rice,ZCTA5 75215,32077,2523,4759,504,69,3713,1018.03125,48865.5,433,2361.84223776224,90.985501155705
42,232,232,Rowe Elementary School,Elementary,32.7854367888,-96.7067361767,4918 Hovenkamp Dr.,Dallas,75227,9727498000,http://www.dallasisd.org/rowe,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
43,209,209,Silberstein Elementary School,Elementary,32.7672047123,-96.7205282452,3101 Lawnview Ave.,Dallas,75227,9727941900,http://www.dallasisd.org/silberstein,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
44,155,155,Tatum Jr. Elementary School,Elementary,32.7633730004,-96.6555363313,3002 N. St. Augustine Rd.,Dallas,75227,9725022000,http://www.dallasisd.org/tatum,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
45,247,247,Callejo Elementary School,Elementary,32.7713975373,-96.6866686066,7817 Military Pkwy,Dallas,75227,9728925700,http://www.dallasisd.org/callejo,ZCTA5 75227,49744,3870,7934,770,35,4591,939.275862068965,45085.2413793103,572,2356.64802120141,72.0947819510966
46,162,162,Mockingbird Elementary School,Elementary,32.8356231275,-96.7673403467,5828 E. Mockingbird Lane,Dallas,75206,9727497200,http://www.dallasisd.org/mockingbird,ZCTA5 75206,79468,4022,14844,783,229,21098,1553.75409836066,74580.1967213115,307,3255.77133986928,20.6817569388305
47,174,174,Geneva Heights Elementary School,Elementary,32.8241613814,-96.7663654548,2911 Delmar Ave.,Dallas,75206,9727497400,http://www.dallasisd.org/genevaheights,ZCTA5 75206,79468,4022,14844,783,229,21098,1553.75409836066,74580.1967213115,307,3255.77133986928,20.6817569388305
48,177,177,Lipscomb Elementary School,Elementary,32.8071617269,-96.7570223092,5801 Worth St.,Dallas,75214,9727947300,http://www.dallasisd.org/lipscomb,ZCTA5 75214,104583,16017,6648,520,135,5924,1195.30526315789,57374.652631579,327,3159.72599388379,49.187725631769
49,184,184,Milam Elementary School,Elementary,32.8163761399,-96.79015005,4200 McKinney Ave.,Dallas,75205,9727495600,http://www.dallasisd.org/milam,ZCTA5 75205,164409,15941,3726,413,87,4488,2424.77777777778,116389.333333333,21,4167.98380952381,5.63607085346216
50,203,203,Rogers Elementary School,Elementary,32.8520525583,-96.7516971646,5314 Abrams Rd.,Dallas,75214,9727948800,http://www.dallasisd.org/rogers,ZCTA5 75214,104583,16017,6648,520,135,5924,1195.30526315789,57374.652631579,327,3159.72599388379,49.187725631769
51,362,362,Ignite Middle School,Choice,32.8015229259,-96.7893276834,2211 Caddo St.,Dallas,75204,9727947700,http://www.dallasisd.org/jwray,ZCTA5 75204,83050,6061,14964,839,212,21239,1617.2030075188,77625.7443609023,509,3286.5915581854,34.0149692595563
52,281,281,Chavez Learning Center,Elementary,32.8037241573,-96.7805643946,1710 N. Carroll,Dallas,75204,9729251000,http://www.dallasisd.org/chavez,ZCTA5 75204,83050,6061,14964,839,212,21239,1617.2030075188,77625.7443609023,509,3286.5915581854,34.0149692595563
53,145,145,Foster Elementary School,Elementary,32.8699698341,-96.8537651574,3700 Clover Lane,Dallas,75220,9727948100,http://www.dallasisd.org/foster,ZCTA5 75220,51125,3645,9670,611,68,10285,1049.33333333333,50368,431,2149.24658139535,44.5708376421924
54,385,385,Montessori Academy at Hernandez Elementary School,Choice,32.8196698572,-96.8364166611,5555 Maple Ave.,Dallas,75235,9729252700,http://www.dallasisd.org/hernandez,ZCTA5 75235,49805,6926,6659,630,44,7701,1535.15625,73687.5,237,3890.41227848101,35.5909295690044
55,160,160,Personalized Learning Preparatory School at Sam Houston ES,Choice,32.8101330245,-96.8133479428,2827 Throckmorton,Dallas,75219,9727495800,http://www.dallasisd.org/houston,ZCTA5 75219,81205,9493,11005,805,178,15179,1773.67647058824,85136.4705882353,345,3673.01702941177,31.3493866424353
56,386,386,Solar Prepratory School for Boys,Choice,32.8100975873,-96.7744669326,1802 Moser Ave.,Dallas,75206,9727947100,http://www.dallasisd.org/kennedy,ZCTA5 75206,79468,4022,14844,783,229,21098,1553.75409836066,74580.1967213115,307,3255.77133986928,20.6817569388305
57,168,168,Knight Elementary School,Elementary,32.8368646116,-96.8518179082,2615 Anson Rd.,Dallas,75235,9727495300,http://www.dallasisd.org/knight,ZCTA5 75235,49805,6926,6659,630,44,7701,1535.15625,73687.5,237,3890.41227848101,35.5909295690044
58,181,181,Maple Lawn Elementary School,Elementary,32.8258842711,-96.8298570329,3120 Inwood Rd.,Dallas,75235,9729252500,http://www.dallasisd.org/maplelawn,ZCTA5 75235,49805,6926,6659,630,44,7701,1535.15625,73687.5,237,3890.41227848101,35.5909295690044
59,283,283,Medrano Elementary School,Elementary,32.8086328523,-96.8271367628,2221 Lucas Dr.,Dallas,75219,9727943300,http://www.dallasisd.org/hopemedrano,ZCTA5 75219,81205,9493,11005,805,178,15179,1773.67647058824,85136.4705882353,345,3673.01702941177,31.3493866424353
60,188,188,Mount Auburn STEAM Academy Elementary School,Elementary,32.7958304202,-96.7440270163,6012 E. Grand Ave.,Dallas,75223,9727498500,http://www.dallasisd.org/mountauburn,ZCTA5 75223,61505,2997,2505,353,12,753,888.625,42654,79,1866.67734177215,31.5369261477046
61,202,202,Roberts Elementary School,Elementary,32.7884957025,-96.7542106357,4919 E. Grand Ave.,Dallas,75223,9727498700,http://www.dallasisd.org/oranroberts,ZCTA5 75223,61505,2997,2505,353,12,753,888.625,42654,79,1866.67734177215,31.5369261477046
62,131,131,Zaragoza Elementary School,Elementary,32.7951542385,-96.7708661739,4550 Worth St.,Dallas,75246,9727498600,http://www.dallasisd.org/zaragoza,ZCTA5 75246,42722,10598,1042,216,48,975,1160.45454545455,55701.8181818182,46,2366.61652173913,44.1458733205374
63,122,122,Carr Elementary School,Elementary,32.7878756964,-96.8527365802,1952 Bayside St.,Dallas,75212,9727944300,http://www.dallasisd.org/carr,ZCTA5 75212,42115,4419,3799,392,11,3348,1359.25,65244,163,2567.1436196319,42.9060279020795
64,260,260,De Zavala Elementary School,Elementary,32.7811030273,-96.8390503692,3214 N. Winnetka Ave.,Dallas,75212,9728926400,http://www.dallasisd.org/dezavala,ZCTA5 75212,42115,4419,3799,392,11,3348,1359.25,65244,163,2567.1436196319,42.9060279020795
65,105,105,Arcadia Park Elementary School,Elementary,32.7593979413,-96.9105299529,1300 N. Justin Ave.,Dallas,75211,9725025300,http://www.dallasisd.org/arcadiapark,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
66,103,103,Allen Charter School,Elementary,32.7815129788,-96.9075593891,5220 Nomas St.,Dallas,75212,9727945100,http://www.dallasisd.org/allen,ZCTA5 75212,42115,4419,3799,392,11,3348,1359.25,65244,163,2567.1436196319,42.9060279020795
67,116,116,Burnet Elementary School,Elementary,32.8764477853,-96.8684176884,3200 Kinkaid Dr.,Dallas,75220,9727943000,http://www.dallasisd.org/burnet,ZCTA5 75220,51125,3645,9670,611,68,10285,1049.33333333333,50368,431,2149.24658139535,44.5708376421924
68,278,278,Cigarroa Elementary School,Elementary,32.8800261395,-96.8647487893,9990 Webb Chapel Rd,Dallas,75220,9725022900,http://www.dallasisd.org/cigarroa,ZCTA5 75220,51125,3645,9670,611,68,10285,1049.33333333333,50368,431,2149.24658139535,44.5708376421924
69,71,71,Dallas Environmental Science Academy,Magnet,32.7850452753,-96.8753819165,3531 N. Westmoreland Rd.,Dallas,75212,9727943950,http://www.dallasisd.org/desa,ZCTA5 75212,42115,4419,3799,392,11,3348,1359.25,65244,163,2567.1436196319,42.9060279020795
70,265,265,Martinez Learning Center,Elementary,32.7867807112,-96.8936949063,4500 Bernal Dr.,Dallas,75212,9727946900,http://www.dallasisd.org/martinez,ZCTA5 75212,42115,4419,3799,392,11,3348,1359.25,65244,163,2567.1436196319,42.9060279020795
71,271,271,Saldivar Elementary School,Elementary,32.8647686797,-96.8728113787,9510 Brockbank Dr.,Dallas,75220,9727942000,http://www.dallasisd.org/saldivar,ZCTA5 75220,51125,3645,9670,611,68,10285,1049.33333333333,50368,431,2149.24658139535,44.5708376421924
72,272,272,Moreno STEAM Academy,Elementary,32.7239646526,-96.858105261,2115 S. Hampton Rd.,Dallas,75224,9725023100,http://www.dallasisd.org/moreno,ZCTA5 75224,46137,4473,5767,594,28,3332,1024.04,49153.92,356,2467.85963380282,61.7305358071788
73,289,289,Botello Personalized Learning Academy,Elementary,32.7456278802,-96.8164097578,225 S. Marsalis Ave.,Dallas,75203,2149325179,http://www.dallasisd.org/botello,ZCTA5 75203,40079,3972,3996,340,99,4604,962.62,46205.76,275,3425.9347601476,68.8188188188188
74,112,112,Bowie Elementary School,Elementary,32.7523582413,-96.8148559369,330 N. Marsalis Ave.,Dallas,75203,9729256600,http://www.dallasisd.org/bowie,ZCTA5 75203,40079,3972,3996,340,99,4604,962.62,46205.76,275,3425.9347601476,68.8188188188188
75,130,130,Cowart Elementary School,Elementary,32.7280045305,-96.8699251602,1515 S. Ravinia,Dallas,75211,9727945500,http://www.dallasisd.org/cowart,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
76,136,136,Donald Elementary School,Elementary,32.7325166185,-96.8870725092,1218 Phinney Ave.,Dallas,75211,9727945300,http://www.dallasisd.org/donald,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
77,149,149,Hall Personalized Learning Academy at Oak Cliff,Elementary,32.7217354601,-96.8812530337,2120 Keats Dr.,Dallas,75211,9727945400,http://www.dallasisd.org/hall,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
78,152,152,Henderson Elementary School,Elementary,32.7239684714,-96.8439101864,2200 S. Edgefield St.,Dallas,75224,9727492900,http://www.dallasisd.org/henderson,ZCTA5 75224,46137,4473,5767,594,28,3332,1024.04,49153.92,356,2467.85963380282,61.7305358071788
79,157,157,Hogg New Tech Center,Elementary,32.7568738571,-96.825074554,1144 N. Madison Ave.,Dallas,75208,9725028600,http://www.dallasisd.org/hogg,ZCTA5 75208,68000,6647,5250,386,85,6708,1417.78378378378,68053.6216216216,259,2996.34100775194,49.3333333333333
80,158,158,Hooe Elementary School,Elementary,32.7407489308,-96.8574500203,2419 Gladstone Dr.,Dallas,75211,9727946700,http://www.dallasisd.org/hooe,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
81,275,275,Kahn Elementary School,Elementary,32.7512789358,-96.8598418475,610 N. Franklin St.,Dallas,75211,9725021400,http://www.dallasisd.org/kahn,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
82,190,190,Peabody Elementary School,Elementary,32.7428548031,-96.8729428573,3101 Raydell Place,Dallas,75211,9727945200,http://www.dallasisd.org/peabody,ZCTA5 75211,50368,3517,10462,893,59,8684,1197.28888888889,57469.8666666667,487,2699.90610766046,46.5494169374881
83,192,192,Peeler Elementary School,Elementary,32.7380615559,-96.8311797668,810 S. Llewellyn Ave.,Dallas,75208,9725028300,http://www.dallasisd.org/peeler,ZCTA5 75208,68000,6647,5250,386,85,6708,1417.78378378378,68053.6216216216,259,2996.34100775194,49.3333333333333
